ClientNr,Vestiging,Leeftijd,Geslacht,Lengte,Gewicht
6580491410386610000,Eindhoven,25,Man,NULL,NULL
-8326989138091970000,Roermond,56,Vrouw,NULL,NULL
595545319547703000,Maastricht,27,Vrouw,NULL,NULL
1666393540240760000,Eindhoven,34,Vrouw,NULL,NULL
6633046735976110000,Sittard-Geleen,55,Man,NULL,NULL
4589558668161010000,Eindhoven,51,Vrouw,NULL,NULL
6304534860845530000,Sittard-Geleen,61,Man,NULL,NULL
6918189471012450000,Sittard-Geleen,25,Man,NULL,NULL
2848508138742070000,Sittard-Geleen,36,Vrouw,NULL,NULL
-1134866786259080000,Roermond,35,Man,NULL,NULL
4077686561241250000,Roermond,53,Vrouw,NULL,NULL
797174721911846000,Eindhoven,38,Vrouw,NULL,NULL
-276582139409862000,Roermond,60,Vrouw,NULL,NULL
623944981692758000,Eindhoven,44,Vrouw,NULL,NULL
-7449245585169060000,Maastricht,49,Vrouw,NULL,NULL
-1446609206121930000,Heerlen,57,Vrouw,NULL,NULL
7612750661126160000,Roermond,50,Man,NULL,NULL
5870830764709290000,Sittard-Geleen,72,Vrouw,NULL,NULL
6489994788224220000,Heerlen,40,Man,NULL,NULL
-5228973015836790000,Heerlen,24,Vrouw,NULL,NULL
4342250255651620000,Eindhoven,32,Vrouw,NULL,NULL
-8876542460200210000,Maastricht,59,Vrouw,NULL,NULL
4450398939037440000,Sittard-Geleen,59,Man,NULL,NULL
-812873752464998000,Heerlen,57,Man,NULL,NULL
4518128437107930000,Eindhoven,44,Vrouw,NULL,NULL
8039958496235670000,Sittard-Geleen,43,Man,NULL,NULL
1550737900249770000,Maastricht,28,Vrouw,NULL,NULL
-8298728864389970000,Maastricht,43,Vrouw,NULL,NULL
1463563142261260000,Maastricht,60,Man,NULL,NULL
7463021727692500000,Eindhoven,53,Man,NULL,NULL
546994894834509000,Roermond,62,Vrouw,NULL,NULL
-228077137900717000,Maastricht,52,Vrouw,NULL,NULL
5763429817263040000,Sittard-Geleen,37,Man,NULL,NULL
5882410030818660000,Maastricht,19,Man,NULL,NULL
6489190507679840000,Eindhoven,48,Vrouw,NULL,NULL
-5116348395569100000,Heerlen,40,Vrouw,NULL,NULL
-8647750892000560000,Sittard-Geleen,60,Vrouw,NULL,NULL
5214702997298760000,Heerlen,64,Man,NULL,NULL
5227402267629890000,Maastricht,59,Man,NULL,NULL
8420580887400220000,Maastricht,28,Vrouw,NULL,NULL
-2104614223504000000,Heerlen,62,Man,NULL,NULL
-6536619405681990000,Sittard-Geleen,29,Man,NULL,NULL
6948343212851290000,Eindhoven,52,Man,NULL,NULL
3854824274899160000,Heerlen,33,Vrouw,NULL,NULL
8336912594139410000,Eindhoven,41,Vrouw,NULL,NULL
-5467661733185910000,Maastricht,34,Vrouw,NULL,NULL
2678283942053860000,Sittard-Geleen,37,Vrouw,NULL,NULL
3071479720536760000,Maastricht,51,Vrouw,NULL,NULL
-2838370012715660000,Maastricht,50,Vrouw,NULL,NULL
9023717420916820000,Sittard-Geleen,47,Vrouw,NULL,NULL
-1410682499712290000,Sittard-Geleen,51,Man,NULL,NULL
-7970388587929390000,Sittard-Geleen,43,Man,NULL,NULL
-7141549908495940000,Sittard-Geleen,37,Man,NULL,NULL
1392285925280750000,Eindhoven,41,Vrouw,NULL,NULL
2435508179738680000,Sittard-Geleen,61,Vrouw,NULL,NULL
-967614378334816000,Sittard-Geleen,48,Vrouw,NULL,NULL
-7433537000157360000,Maastricht,28,Vrouw,NULL,NULL
-3455591243562730000,Heerlen,19,Vrouw,NULL,NULL
6789030449556920000,Heerlen,31,Man,NULL,NULL
1463696257643250000,Heerlen,28,Vrouw,NULL,NULL
6898657232569420000,Maastricht,30,Vrouw,NULL,NULL
-2143563682929070000,Eindhoven,38,Man,NULL,NULL
7495722767231380000,Eindhoven,57,Man,NULL,NULL
8965574535502030000,Eindhoven,37,Vrouw,NULL,NULL
8921419279418640000,Maastricht,50,Vrouw,NULL,NULL
4966709613751700000,Roermond,53,Man,NULL,NULL
3908616293433670000,Eindhoven,55,Man,NULL,NULL
2849427036210550000,Eindhoven,44,Man,NULL,NULL
-4689603344105920000,Heerlen,51,Vrouw,NULL,NULL
-4170308680987570000,Roermond,60,Man,NULL,NULL
5382690024362640000,Heerlen,54,Vrouw,NULL,NULL
-2320865601792820000,Eindhoven,33,Man,NULL,NULL
4943457642660030000,Eindhoven,46,Man,NULL,NULL
9163898182279930000,Roermond,55,Vrouw,NULL,NULL
-7634967749820650000,Heerlen,63,Man,NULL,NULL
-6587593087893750000,Roermond,47,Man,NULL,NULL
4543519300151360000,Eindhoven,57,Man,NULL,NULL
7294583277645800000,Eindhoven,37,Vrouw,NULL,NULL
1259216378690150000,Sittard-Geleen,25,Man,NULL,NULL
-6805127597983640000,Maastricht,58,Vrouw,NULL,NULL
-5887563318505800000,Maastricht,48,Vrouw,NULL,NULL
9140609939038040000,Sittard-Geleen,40,Man,NULL,NULL
-7195127685883080000,Roermond,57,Vrouw,NULL,NULL
7798195711530090000,Maastricht,52,Vrouw,NULL,NULL
2651179256555210000,Eindhoven,27,Man,NULL,NULL
1584119834030300000,Sittard-Geleen,29,Vrouw,NULL,NULL
7681403818857080000,Eindhoven,53,Man,NULL,NULL
6828753800014880000,Roermond,56,Vrouw,NULL,NULL
-2242763233023150000,Maastricht,53,Man,NULL,NULL
-3771848706060360000,Heerlen,40,Vrouw,NULL,NULL
1029986299651250000,Heerlen,40,Man,NULL,NULL
6455604157290270000,Eindhoven,52,Man,NULL,NULL
7173426923792630000,Maastricht,61,Vrouw,NULL,NULL
5116463905796790000,Eindhoven,50,Vrouw,NULL,NULL
-6171634790331630000,Eindhoven,51,Vrouw,NULL,NULL
-7720709792767820000,Heerlen,61,Vrouw,NULL,NULL
-7599569476668780000,Heerlen,32,Vrouw,NULL,NULL
3752649920831460000,Eindhoven,27,Vrouw,NULL,NULL
-3926350101912540000,Maastricht,26,Man,NULL,NULL
6141011998658750000,Eindhoven,34,Man,NULL,NULL
